"D01E01D_Duodenum"	"D01E01J_Jejunum"	"D01E02D_Duodenum"	"D01E02J_Jejunum"	"D01E03D_Duodenum"	"D01E03J_Jejunum"	"D01E04D_Duodenum"	"D01E04J_Jejunum"	"D01E05D_Duodenum"	"D01E05J_Jejunum"	"D01E06D_Duodenum"	"D01E06J_Jejunum"	"D01E07D_Duodenum"	"D01E07J_Jejunum"	"D01E08D_Duodenum"	"D01E08J_Jejunum"	"D01E09D_Duodenum"	"D01E09J_Jejunum"	"D01E10D_Duodenum"	"D01E10J_Jejunum"	"D04E01D_Duodenum"	"D04E01J_Jejunum"	"D04E02D_Duodenum"	"D04E02J_Jejunum"	"D04E03D_Duodenum"	"D04E03J_Jejunum"	"D04E04D_Duodenum"	"D04E04J_Jejunum"	"D04E05D_Duodenum"	"D04E05J_Jejunum"	"D04E06D_Duodenum"	"D04E06J_Jejunum"	"D04E07D_Duodenum"	"D04E07J_Jejunum"	"D04E08D_Duodenum"	"D04E08J_Jejunum"	"D04E09D_Duodenum"	"D04E09J_Jejunum"	"D04E10D_Duodenum"	"D04E10J_Jejunum"	"D07E01D_Duodenum"	"D07E01J_Jejunum"	"D07E02D_Duodenum"	"D07E02J_Jejunum"	"D07E03D_Duodenum"	"D07E03J_Jejunum"	"D07E04D_Duodenum"	"D07E04J_Jejunum"	"D07E05D_Duodenum"	"D07E05J_Jejunum"	"D07E06D_Duodenum"	"D07E06J_Jejunum"	"D07E07D_Duodenum"	"D07E07J_Jejunum"	"D07E08D_Duodenum"	"D07E08J_Jejunum"	"D07E09D_Duodenum"	"D07E09J_Jejunum"	"D07E10D_Duodenum"	"D07E10J_Jejunum"	"D14E01D_Duodenum"	"D14E01J_Jejunum"	"D14E02D_Duodenum"	"D14E02J_Jejunum"	"D14E03D_Duodenum"	"D14E03J_Jejunum"	"D14E04D_Duodenum"	"D14E04J_Jejunum"	"D14E05D_Duodenum"	"D14E05J_Jejunum"	"D14E06D_Duodenum"	"D14E06J_Jejunum"	"D14E07D_Duodenum"	"D14E07J_Jejunum"	"D14E08D_Duodenum"	"D14E08J_Jejunum"	"D14E09D_Duodenum"	"D14E09J_Jejunum"	"D14E10D_Duodenum"	"D14E10J_Jejunum"	"D21E01D_Duodenum"	"D21E01J_Jejunum"	"D21E02D_Duodenum"	"D21E02J_Jejunum"	"D21E03D_Duodenum"	"D21E03J_Jejunum"	"D21E04D_Duodenum"	"D21E04J_Jejunum"	"D21E05D_Duodenum"	"D21E05J_Jejunum"	"D21E06D_Duodenum"	"D21E06J_Jejunum"	"D21E07D_Duodenum"	"D21E07J_Jejunum"	"D21E08D_Duodenum"	"D21E08J_Jejunum"	"D21E09D_Duodenum"	"D21E09J_Jejunum"	"D21E10D_Duodenum"	"D21E10J_Jejunum"	"D28E01D_Duodenum"	"D28E01J_Jejunum"	"D28E02D_Duodenum"	"D28E02J_Jejunum"	"D28E03D_Duodenum"	"D28E03J_Jejunum"	"D28E04D_Duodenum"	"D28E04J_Jejunum"	"D28E05D_Duodenum"	"D28E05J_Jejunum"	"D28E06D_Duodenum"	"D28E06J_Jejunum"	"D28E07D_Duodenum"	"D28E07J_Jejunum"	"D28E08D_Duodenum"	"D28E08J_Jejunum"	"D28E09D_Duodenum"	"D28E09J_Jejunum"	"D28E10D_Duodenum"	"D28E10J_Jejunum"	"D35E01D_Duodenum"	"D35E01J_Jejunum"	"D35E02D_Duodenum"	"D35E02J_Jejunum"	"D35E03D_Duodenum"	"D35E03J_Jejunum"	"D35E04D_Duodenum"	"D35E04J_Jejunum"	"D35E05D_Duodenum"	"D35E05J_Jejunum"	"D35E06D_Duodenum"	"D35E06J_Jejunum"	"D35E07D_Duodenum"	"D35E07J_Jejunum"	"D35E08D_Duodenum"	"D35E08J_Jejunum"	"D35E09D_Duodenum"	"D35E09J_Jejunum"	"D35E10D_Duodenum"	"D35E10J_Jejunum"	"D42E01D_Duodenum"	"D42E01J_Jejunum"	"D42E02D_Duodenum"	"D42E02J_Jejunum"	"D42E03D_Duodenum"	"D42E03J_Jejunum"	"D42E04D_Duodenum"	"D42E04J_Jejunum"	"D42E05D_Duodenum"	"D42E05J_Jejunum"	"D42E06D_Duodenum"	"D42E06J_Jejunum"	"D42E07D_Duodenum"	"D42E07J_Jejunum"	"D42E08D_Duodenum"	"D42E08J_Jejunum"	"D42E09D_Duodenum"	"D42E09J_Jejunum"	"D42E10D_Duodenum"	"D42E10J_Jejunum"	"D01E01C_Cecum"	"D01E02C_Cecum"	"D01E03C_Cecum"	"D01E04C_Cecum"	"D01E05C_Cecum"	"D01E06C_Cecum"	"D01E07C_Cecum"	"D01E08C_Cecum"	"D01E09C_Cecum"	"D01E10C_Cecum"	"D04E01C_Cecum"	"D04E02C_Cecum"	"D04E03C_Cecum"	"D04E04C_Cecum"	"D04E05C_Cecum"	"D04E06C_Cecum"	"D04E07C_Cecum"	"D04E08C_Cecum"	"D04E09C_Cecum"	"D04E10C_Cecum"	"D07E01C_Cecum"	"D07E02C_Cecum"	"D07E03C_Cecum"	"D07E04C_Cecum"	"D07E05C_Cecum"	"D07E06C_Cecum"	"D07E07C_Cecum"	"D07E08C_Cecum"	"D07E09C_Cecum"	"D07E10C_Cecum"	"D14E01C_Cecum"	"D14E02C_Cecum"	"D14E03C_Cecum"	"D14E04C_Cecum"	"D14E05C_Cecum"	"D14E06C_Cecum"	"D14E07C_Cecum"	"D14E08C_Cecum"	"D14E09C_Cecum"	"D14E10C_Cecum"	"D21E01C_Cecum"	"D21E02C_Cecum"	"D21E03C_Cecum"	"D21E04C_Cecum"	"D21E05C_Cecum"	"D21E06C_Cecum"	"D21E07C_Cecum"	"D21E08C_Cecum"	"D21E09C_Cecum"	"D21E10C_Cecum"	"D28E01C_Cecum"	"D28E02C_Cecum"	"D28E03C_Cecum"	"D28E04C_Cecum"	"D28E05C_Cecum"	"D28E06C_Cecum"	"D28E07C_Cecum"	"D28E08C_Cecum"	"D28E09C_Cecum"	"D28E10C_Cecum"	"D35E01C_Cecum"	"D35E02C_Cecum"	"D35E03C_Cecum"	"D35E04C_Cecum"	"D35E05C_Cecum"	"D35E06C_Cecum"	"D35E07C_Cecum"	"D35E08C_Cecum"	"D35E09C_Cecum"	"D35E10C_Cecum"	"D42E01C_Cecum"	"D42E02C_Cecum"	"D42E03C_Cecum"	"D42E04C_Cecum"	"D42E05C_Cecum"	"D42E06C_Cecum"	"D42E07C_Cecum"	"D42E08C_Cecum"	"D42E09C_Cecum"	"D42E10C_Cecum"	"Unknown"
"D01E01I_Ileum"	0.0284226941746748	0.0781377416694324	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0137319765805542	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.879707587575339
"D01E02I_Ileum"	NA	NA	0.00660289754308308	0.358021146805796	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.6395482804993e-17	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.635375955651121
"D01E03I_Ileum"	NA	NA	NA	NA	0.00780134580527928	0.50860237208142	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00442365652320994	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.47917262559009
"D01E04I_Ileum"	NA	NA	NA	NA	NA	NA	0.00416325751132631	0.149720051775783	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.007000277405264	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.839116413307627
"D01E05I_Ileum"	NA	NA	NA	NA	NA	NA	NA	NA	0.0055938397632241	0.100488274559289	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0105082681536343	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.883409617523853
"D01E06I_Ileum"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.41169601736758e-06	0.72798655882447	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0150353979221625	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.25697663155735
"D01E07I_Ileum"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.67260852390369e-06	0.397553686369986	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0277893311667796	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.57465430985471
"D01E08I_Ileum"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.52528304917236e-06	0.0334173624662346	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.236349917808189	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.730231194442527
"D01E09I_Ileum"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0199641505761829	0.0945115036495278	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.307149571528912	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.578374774245377
"D01E10I_Ileum"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00109617086467513	0.0400912336916311	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0286214134265019	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.930191182017192
